threat_rule_id,crop,applicable_phase,hazard,variable,operator,threshold,unit,duration_value,duration_definition,evidence_type,spatial_scope,source,doi_or_uri,limitations
RICE_HEAT_MEAN_33,rice,BBCH_30_39,Calor,Temperatura media diaria,>=,33.0,°C,1.0,día consecutivo,Indicador regional,Sur de China; ciclo único,Sun et al. 2025,10.5194/esd-16-1971-2025,Duración relajada respecto del estándar; no global
RICE_DROUGHT_SM75,rice,BBCH_40_59,Sequía,Humedad relativa del suelo,<=,75.0,%,10.0,días consecutivos,Indicador regional,Sur de China; ciclo único,Sun et al. 2025,10.5194/esd-16-1971-2025,Falta definición operacional completa de SM para transferencia
RICE_COLD_MEAN20,rice,BBCH_40_69,Frío,Temperatura media diaria,<=,20.0,°C,1.0,día consecutivo,Indicador regional,Sur de China; arroz tardío,Sun et al. 2025,10.5194/esd-16-1971-2025,Duración relajada; no global
RICE_COLD_MEAN17,rice,BBCH_70_79,Frío,Temperatura media diaria,<=,17.0,°C,1.0,día consecutivo,Indicador regional,Sur de China; arroz tardío,Sun et al. 2025,10.5194/esd-16-1971-2025,Duración relajada; no global
RICE_RAIN25,rice,BBCH_40_79,Lluvia intensa,Precipitación total diaria,>=,25.0,mm/día,1.0,día consecutivo,Indicador regional,Sur de China; arroz tardío,Sun et al. 2025,10.5194/esd-16-1971-2025,Basado en estándar local de Chengdu
RICE_HEAT_DAY37_2,rice,BBCH_60_69,Calor diurno,Temperatura diurna,>,37.2,°C,,No determinada,Umbral modelado,Síntesis multiexperimento,Liu et al. 2023,10.1016/j.xplc.2023.100629,SE 0.2°C; reducción significativa del cuajado; duración heterogénea
RICE_HEAT_NIGHT31_2,rice,BBCH_60_69,Calor nocturno,Temperatura nocturna,>,31.2,°C,7.0,más de una semana,Umbral modelado provisional,Síntesis; evidencia nocturna limitada,Liu et al. 2023,10.1016/j.xplc.2023.100629,SE 0.2°C; no es duración máxima tolerable
MAIZE_HEAT_DAY37_9,maize,R1,Calor diurno,Temperatura diurna,>,37.9,°C,,No determinada,Umbral modelado,Síntesis multiexperimento,Liu et al. 2023,10.1016/j.xplc.2023.100629,SE 0.4°C; reducción significativa del cuajado
MAIZE_HEAT_NIGHT27_3,maize,R1,Calor nocturno,Temperatura nocturna,>,27.3,°C,7.0,más de una semana,Umbral modelado provisional,Síntesis; evidencia nocturna limitada,Liu et al. 2023,10.1016/j.xplc.2023.100629,SE 1.3°C; no es duración máxima tolerable
MAIZE_HEAT_FILL39_4_41_5,maize,R4_R5,Calor,Tmax media del tratamiento,>=,39.4,°C,6.0,"días, 08:00-18:00",Tratamiento experimental,Híbrido Xianyu335; China,Zhang et al. 2023,10.3390/agronomy13082126,"Rango 39.4-41.5°C; causó daño, no estima inicio crítico"
WHEAT_HEAT_DAY27_3,wheat,Z60_69,Calor diurno,Temperatura diurna,>,27.3,°C,,No determinada,Umbral modelado,Síntesis multiexperimento,Liu et al. 2023,10.1016/j.xplc.2023.100629,SE 0.5°C; reducción significativa del cuajado
WHEAT_HEAT_NIGHT19_6,wheat,Z60_69,Calor nocturno,Temperatura nocturna,>,19.6,°C,7.0,más de una semana,Umbral modelado provisional,Síntesis; evidencia nocturna limitada,Liu et al. 2023,10.1016/j.xplc.2023.100629,SE 2.7°C; no es duración máxima tolerable
WHEAT_SEEDLING_HEAT42,wheat,Z00_29,Calor,Temperatura de tratamiento,=,42.0,°C,24.0,horas,Fuente secundaria,Ambiente controlado,Akter e Islam 2017 (cita Gupta et al. 2013a),10.1007/s13593-017-0443-9,"Buscar fuente primaria; tratamiento, no umbral"
SOY_SEASONAL_HEAT30,soybean,Ciclo completo,Calor,Exposición diaria >30°C,>,30.0,°C,1.0,día,Asociación observacional/modelos,Estados Unidos; más fuerte en secano,Schauberger et al. 2017,10.1038/ncomms13931,Hasta 6% de reducción por día; no específica de fase
SOY_GERMINATION_TMAX46_92,soybean,VE_VC,Temperatura cardinal,Temperatura máxima cardinal,=,46.92,°C,,No aplica,Parámetro modelado,Dos cultivares MG V; incubador,Alsajri 2018,https://hdl.handle.net/11668/20905,No usar como umbral de muerte ni alerta
